Table,,,,,,,,
"Crime Severity Index values for 325 police services1,2 policing communities over 10,000 population3, 2020",,,,,,,,
,,,,,,,,
Respondent Code,Police Service,Population,Overall Crime Severity Index,,Violent Crime Severity Index,,Non-violent Crime Severity Index,
35508,"Essex County (Kingsville), Ont., OPP, Municipal"," 23,325 ",33.45,280,29.43,293,34.82,256
35242,"Perth East, Ont., OPP, Municipal"," 13,006 ",33.27,281,21.9,311,37.28,241
24637,"Rimouski-Neigette Region, Que., SQ"," 57,710 ",32.83,282,50.17,228,26.52,301
24268,"Richelieu Saint-Laurent, Que., Municipal"," 215,035 ",32.75,283,43.44,252,28.83,284
24382,"Collines-de-l'Outaouais Region, Que., Municipal"," 52,616 ",32.18,284,62.5,163,21.2,319
35099,"Lennox and Addington County East (Loyalist), Ont., OPP, Municipal"," 18,178 ",31.99,285,50.39,227,25.3,305
24333,"Terrebonne, Que., Municipal"," 144,908 ",31.85,286,48.41,237,25.82,304
35494,"Grenville County (North Grenville), Ont., OPP, Municipal"," 17,965 ",31.33,287,52.78,214,23.55,310
35470,"Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio), Ont., OPP, Municipal"," 72,988 ",31.13,288,43.04,254,26.78,298
47004,"Martensville, Sask., RCMP, Municipal"," 11,126 ",30.66,289,24.76,303,32.71,272
59001,"Central Saanich, B.C., Municipal"," 18,353 ",30.6,290,18.6,319,34.84,255
35506,"Essex County (Tecumseh), Ont., OPP, Municipal"," 24,149 ",30.5,291,22,310,33.48,267
35549,"City of Kawartha Lakes, Ont., OPP, Rural"," 52,685 ",30.18,292,51.29,223,22.51,315
59015,"Oak Bay, B.C., Municipal"," 18,918 ",29.81,293,17.81,320,34.06,262
24305,"Blainville, Que., Municipal"," 61,592 ",28.99,294,34.38,280,26.99,295
35047,"Frontenac (South Frontenac), Ont., OPP, Municipal"," 19,855 ",28.94,295,36.64,272,26.11,303
59815,"North Saanich, B.C., RCMP, Municipal"," 11,965 ",28.55,296,31.38,289,27.46,291
35278,"Southern Georgian Bay (Tay), Ont., OPP, Municipal"," 11,215 ",28.42,297,31.6,286,27.21,293
35101,"Essex County (Essex), Ont., OPP, Municipal"," 21,552 ",28.39,298,30.04,292,27.72,290
24135,"L'Assomption, Que., Municipal"," 27,040 ",28.37,299,32.65,283,26.76,299
35100,"Grey Bruce (Grey Highlands), Ont., OPP, Municipal"," 10,537 ",28.11,300,31.51,288,26.82,296
35502,"Essex County (Lakeshore), Ont., OPP, Municipal"," 40,281 ",27.86,301,26.03,300,28.45,286
35461,"Caledon, Ont., OPP, Municipal"," 76,062 ",27.58,302,23.09,308,29.13,281
11714,"Stratford, P.E.I., RCMP, Municipal"," 11,410 ",27.48,303,23.21,307,28.95,282
24458,"Nouvelle-Beauce Region, Que., SQ"," 37,936 ",27.36,304,28.73,294,26.8,297
35187,"Oxford (Norwich), Ont., OPP, Municipal"," 11,526 ",27.34,305,25.25,301,28.02,288
24614,"Portneuf Region, Que., SQ"," 55,096 ",27.24,306,35.05,277,24.37,308
24221,"Repentigny, Que., Municipal"," 92,650 ",27.21,307,38.54,266,23.07,313
24253,"Vaudreuil-Soulanges Region, Que., SQ"," 161,507 ",26.92,308,36.6,273,23.38,311
24219,"Lévis, Que., Municipal"," 149,929 ",26.77,309,34.64,278,23.88,309
24258,"Lac des Deux-Montagnes, Que., Municipal"," 51,240 ",26.64,310,49.28,231,18.44,321
24628,"Îles-de-la-Madeleine, Que., SQ"," 12,774 ",26.48,311,35.31,276,23.25,312
35260,"Orillia (Ramara), Ont., OPP, Rural"," 10,455 ",25.9,312,21.83,312,27.3,292
35254,"Orillia (Oro-Medonte), Ont., OPP, Rural"," 23,327 ",25.07,313,19.18,317,27.13,294
35023,"Peterborough County (Selwyn), Ont., OPP, Municipal"," 15,203 ",23.32,314,19.34,316,24.7,306
35169,"Upper Ottawa Valley (Petawawa), Ont., OPP, Municipal"," 16,336 ",22.9,315,31.33,290,19.81,320
35048,"Halton Region (Oakville/Burlington), Ont., Municipal"," 610,581 ",22.77,316,26.96,296,21.21,318
24232,"Mercier, Que., Municipal"," 14,655 ",22.12,317,38.01,268,16.35,323
35036,"Lanark County (Mississippi Mills), Ont., OPP, Municipal"," 14,798 ",22.05,318,21.01,314,22.37,316
35253,"Southern Georgian Bay (Tiny), Ont., OPP, Municipal"," 13,421 ",22.03,319,14.74,323,24.6,307
35274,"Huronia West (Springwater), Ont., OPP, Municipal"," 21,435 ",21.96,320,8.94,325,26.6,300
24040,"Bromont, Que., Municipal"," 10,682 ",21.23,321,16.18,322,23,314
35026,"Dufferin (Mono), Ont., OPP, Municipal"," 10,187 ",19.67,322,23.29,306,18.32,322
35388,"LaSalle, Ont., Municipal"," 33,016 ",19.15,323,11.54,324,21.84,317
13024,"Kennebecasis Region, N.B., Municipal"," 31,170 ",18.72,324,26.09,299,16.03,324
35170,"Northumberland (Hamilton), Ont., OPP, Municipal"," 11,143 ",15.35,325,16.29,321,14.98,325
,,,,,,,,
… not applicable,,,,,,,,
1. Data presented in this table are at police service level and will differ from the data for census metropolitan areas of the same name.,,,,,,,,
"2. The crime statistics reported for the following police services contain a notable proportion of incidents that occur within the local correctional facility:  Northumberland (Brighton), Ont.; Napanee (Greater Napanee), Ont.; Fort Saskatchewan, Alta.  For further details, contact the Canadian Centre for Justice and Community Safety Statistics at statcan.ccjs-ccsj.statcan@canada.ca.",,,,,,,,
"3. Population over 10,000 refers to a police service that polices at least one census subdivision with a population of 10,000 or more.  Population figures reflect only the permanent or resident population of a jurisdiction. Where a jurisdiction serves as the centre for commercial businesses, human or public services, or entertainment, it may have substantial “part-time” populations, e.g., tourists, cabin owners, commuters, students, and seasonal staff. These temporary populations, whose permanent residence is within another jurisdiction, are excluded from a jurisdiction’s population figures. This may be a factor to consider when examining the crime rate and Crime Severity Index for some municipalities. A high crime rate or Crime Severity Index (CSI) may indicate that a municipality is a geographical area that provides commercial business, human or public services, or entertainment for many people who reside outside, as well as inside, the municipality. As a result, these municipalities may have large part-time or temporary populations which are excluded from both their population bases and their crime rate and CSI calculations.
",,,,,,,,
Abbreviations:,,,,,,,,
N.L. - Newfoundland and Labrador,,,,,,,,
P.E.I. - Prince Edward Island,,,,,,,,
N.S. - Nova Scotia,,,,,,,,
N.B. - New Brunswick,,,,,,,,
Que. - Quebec,,,,,,,,
Ont. - Ontario,,,,,,,,
Man. - Manitoba,,,,,,,,
Sask. - Saskatchewan,,,,,,,,
Alta. - Alberta,,,,,,,,
B.C. - British Columbia,,,,,,,,
Y.T. - Yukon,,,,,,,,
N.W.T. - Northwest Territories,,,,,,,,
Acronyms:,,,,,,,,
OPP - Ontario Provincial Police,,,,,,,,
QPP - Quebec Provincial Police,,,,,,,,
RCMP - Royal Canadian Mounted Police,,,,,,,,
RNC - Royal Newfoundland Constabulary,,,,,,,,
Note: The Crime Severity Index is standardized to 100 for Canada in base year 2006.,,,,,,,,
"Source: Statistics Canada, Canadian Centre for Justice and Community Safety Statistics, Uniform Crime Reporting Survey.",,,,,,,,
